"Q,ty",RB6,RB9,DB12,DB16,DB20,DB25,DB28,D32,DB36,DB40
1,0.2827,0.636,1.131,2.01,3.146,4.908,6.157,6.313,7.99,8.865
2,0.5654,1.272,2.262,4.02,6.292,9.816,12.314,12.626,15.98,17.73
3,0.8481,1.908,3.393,6.03,9.438,14.724,18.471,18.939,23.97,26.595
4,1.1308,2.544,4.524,8.04,12.584,19.632,24.628,25.252,31.96,35.46
5,1.4135,3.18,5.655,10.05,15.73,24.54,30.785,31.565,39.95,44.325
6,1.6962,3.816,6.786,12.06,18.876,29.448,36.942,37.878,47.94,53.19
7,1.9789,4.452,7.917,14.07,22.022,34.356,43.099,44.191,55.93,62.055
8,2.2616,5.088,9.048,16.08,25.168,39.264,49.256,50.504,63.92,70.92
9,2.5443,5.724,10.179,18.09,28.314,44.172,55.413,56.817,71.91,79.785
10,2.827,6.36,11.31,20.1,31.46,49.08,61.57,63.13,79.9,88.65
11,3.1097,6.996,12.441,22.11,34.606,53.988,67.727,69.443,87.89,97.515
12,3.3924,7.632,13.572,24.12,37.752,58.896,73.884,75.756,95.88,106.38
13,3.6751,8.268,14.703,26.13,40.898,63.804,80.041,82.069,103.87,115.245
14,3.9578,8.904,15.834,28.14,44.044,68.712,86.198,88.382,111.86,124.11
15,4.2405,9.54,16.965,30.15,47.19,73.62,92.355,94.695,119.85,132.975
16,4.5232,10.176,18.096,32.16,50.336,78.528,98.512,101.008,127.84,141.84
17,4.8059,10.812,19.227,34.17,53.482,83.436,104.669,107.321,135.83,150.705
18,5.0886,11.448,20.358,36.18,56.628,88.344,110.826,113.634,143.82,159.57
19,5.3713,12.084,21.489,38.19,59.774,93.252,116.983,119.947,151.81,168.435
20,5.654,12.72,22.62,40.2,62.92,98.16,123.14,126.26,159.8,177.3
21,5.9367,13.356,23.751,42.21,66.066,103.068,129.297,132.573,167.79,186.165
22,6.2194,13.992,24.882,44.22,69.212,107.976,135.454,138.886,175.78,195.03
23,6.5021,14.628,26.013,46.23,72.358,112.884,141.611,145.199,183.77,203.895
24,6.7848,15.264,27.144,48.24,75.504,117.792,147.768,151.512,191.76,212.76
25,7.0675,15.9,28.275,50.25,78.65,122.7,153.925,157.825,199.75,221.625
26,7.3502,16.536,29.406,52.26,81.796,127.608,160.082,164.138,207.74,230.49
27,7.6329,17.172,30.537,54.27,84.942,132.516,166.239,170.451,215.73,239.355
28,7.9156,17.808,31.668,56.28,88.088,137.424,172.396,176.764,223.72,248.22
29,8.1983,18.444,32.799,58.29,91.234,142.332,178.553,183.077,231.71,257.085
30,8.481,19.08,33.93,60.3,94.38,147.24,184.71,189.39,239.7,265.95
